kw,page,pages_num,clicks_cur,imp_cur,pos_cur,cpc,vol,clicks_prev,imp_prev,pos_prev,opportunity_score,value,potential_traffic_cur,potential_traffic_prev,potential_traffic_value_cur,potential_traffic_value_prev,traffic_value,avg_pos_cur,position_delta,impressions_delta,clicks_delta,is_watchlisted,last_seen_at
day care center alpharetta ga,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,2,96,0,0,0,0,0,4.58,0,2,0,0,0,0,96,-96,2,0,FALSE,2025-11-19
preschool in alpharetta georgia,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,1,98,0,0,0,0,0,0,0,1,0,0,0,0,98,-98,1,0,FALSE,2025-11-19
daycares in gwinnett county ga,,0,0,0,0,6.7,110,1,6,73,0,0,0,5,0,34,738,0,73,-6,-1,TRUE,2025-10-12
early learning certificate in macon ga,https://chromaela.com/,1,0,30,88,0,0,0,8,95,22.92,0,30,8,0,0,0,94.27,7,22,0,FALSE,2025-11-15
parks near me for toddlers,,0,0,0,0,0,0,0,2,9,0,0,0,2,0,0,0,0,9,-2,0,FALSE,2025-09-26
day care center atlanta ga,https://chromaela.com/,1,0,1,97,0,0,0,0,0,0,0,1,0,0,0,0,97,-97,1,0,FALSE,2025-11-19
things to do with toddlers in johns creek ga,,0,0,0,0,0,0,0,1,34,0,0,0,1,0,0,0,0,34,-1,0,FALSE,2025-09-28
premier learning early childhood education center,https://chromaela.com/service-areas-southcobb-ga,1,0,1,2,6.8,50,0,2,1,32.15,0,1,2,7,14,341,2,-1,-1,0,FALSE,2025-11-02
quilla early learning academy,https://chromaela.com/,1,0,2,52,0,90,0,1,49,4.58,0,2,1,0,0,0,52,-3,1,0,FALSE,2025-11-20
when do babies start walking on their own,,0,0,0,0,0,0,0,1,81,0,0,0,1,0,0,0,0,81,-1,0,FALSE,2025-10-23
duluth ga to jonesboro ga,,0,0,0,0,0,20,0,1,8,0,0,0,1,0,0,0,0,8,-1,0,FALSE,2025-10-25
roswell child care academy,,0,0,0,0,0,0,0,3,18,0,0,0,3,0,0,0,0,18,-3,0,FALSE,2025-10-10
growing and learning academy,,0,0,0,0,0,320,0,1,66,0,0,0,1,0,0,0,0,66,-1,0,FALSE,2025-09-29
river green subdivision canton ga,https://chromaela.com/service-areas-rivergreen-ga,1,0,2,41,0.9,90,0,0,0,25.55,0,2,0,2,0,85,40,-41,2,0,FALSE,2025-11-02
alpharetta woods preschool,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,2,12,0,0,0,0,0,4.58,0,2,0,0,0,0,12,-12,2,0,FALSE,2025-11-20
daycares in powder springs ga,https://chromaela.com/service-areas-marietta-west-ga,2,0,3,47,0,0,0,3,5,9.17,0,3,3,0,0,0,46.33,-42,0,0,FALSE,2025-11-13
pre k and kindergarten schools near me,https://chromaela.com/service-areas-southcobb-ga,1,0,1,32,10.1,50,0,0,0,29.4,0,1,0,10,0,503,32,-32,1,0,FALSE,2025-11-10
child care centers near me,,0,0,0,0,0,0,0,7,27,0,0,0,7,0,0,0,0,27,-7,0,FALSE,2025-10-14
east cobb park marietta ga,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-east-cobb-for-your-babys-first-outings,1,0,1,22,0,70,0,0,0,0,0,1,0,0,0,0,22,-22,1,0,FALSE,2025-11-21
afterschool program 30047,https://chromaela.com/lilburn,3,0,6,16,0,0,0,6,12,11.85,0,6,6,0,0,0,19.94,-4,0,0,FALSE,2025-11-10
phase family learning center alpharetta,https://chromaela.com/,2,0,2,57,2.7,1900,0,2,80,44.9,0,2,2,5,5,5073,75,23,0,0,FALSE,2025-11-10
daycare on bouldercrest rd,,0,0,0,0,6.2,30,0,1,43,0,0,0,1,0,6,185,0,43,-1,0,FALSE,2025-10-20
west technology education,https://chromaela.com/,5,0,5,8,0,0,0,0,0,10.65,0,5,0,0,0,0,8,-8,5,0,FALSE,2025-10-27
sensorimotor stage of cognitive development,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,11,60,0,880,0,0,0,15.86,0,11,0,0,0,0,63.5,-60,11,0,FALSE,2025-11-20
parks with baby swings near me,,0,0,0,0,0,0,0,1,14,0,0,0,1,0,0,0,0,14,-1,0,FALSE,2025-09-26
dreamplay learning center,https://chromaela.com/service-areas-southcobb-ga,1,0,1,92,0,0,0,0,0,0,0,1,0,0,0,0,92,-92,1,0,FALSE,2025-10-30
daycare for children with dietary restrictions,https://chromaela.com/service-areas-lilburn-ga,1,0,1,13,0,0,0,2,13,0,0,1,2,0,0,0,13,0,-1,0,FALSE,2025-11-20
sensorimotor stage object permanence,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,2,59,0,90,0,0,0,4.58,0,2,0,0,0,0,61,-59,2,0,FALSE,2025-11-23
afterschool programs near me,https://www.chromaela.com/service-areas-lawrenceville-ga,2,0,4,10,4.3,6600,0,1,10,57.67,0,4,1,17,4,28710,9,0,3,0,FALSE,2025-11-20
goddard school trickum road,https://chromaela.com/,1,0,1,60,0,0,0,0,0,0,0,1,0,0,0,0,60,-60,1,0,FALSE,2025-11-19
what is primary circular reaction,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,1,0,50,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-07
pleasant hill daycare photography,,0,0,0,0,0,0,0,1,80,0,0,0,1,0,0,0,0,80,-1,0,FALSE,2025-10-20
childcare with transportation near me,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,6,4.5,90,0,0,0,28.41,0,1,0,5,0,409,6,-6,1,0,FALSE,2025-10-27
cognitive development sensorimotor stage,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,4,78,1.1,880,0,0,0,41.7,0,4,0,4,0,977,75,-78,4,0,FALSE,2025-11-19
daycare with stem programs,https://chromaela.com/service-areas-tyrone-ga,6,0,12,8,0,0,0,4,10,16.44,0,12,4,0,0,0,9.04,2,8,0,FALSE,2025-11-16
piaget 6 stages of sensorimotor development,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,51,0,20,0,0,0,0,0,1,0,0,0,0,51,-51,1,0,FALSE,2025-11-17
the learning station ellenwood,https://chromaela.com/service-areas-ellenwood-ga,1,0,1,46,2.6,70,0,0,0,24.59,0,1,0,3,0,182,46,-46,1,0,FALSE,2025-11-02
the learning center lawrenceville,https://chromaela.com/,1,0,1,51,0,20,0,0,0,0,0,1,0,0,0,0,51,-51,1,0,FALSE,2025-11-03
elc early learning center,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-07
daycares hiring near me no experience,https://chromaela.com/service-areas-southcobb-ga,2,0,2,23,1.3,590,0,0,0,36.04,0,2,0,3,0,779,51,-23,2,0,FALSE,2025-11-16
daycare with video monitoring,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,1,7.8,30,0,1,1,25.79,0,1,1,8,8,235,1,0,0,0,FALSE,2025-11-04
south cobb enrichment center,,0,0,0,0,0,20,0,2,14,0,0,0,2,0,0,0,0,14,-2,0,FALSE,2025-09-26
emily lembeck early learning center,https://chromaela.com/,1,0,3,70,0,720,0,2,65,7.27,0,3,2,0,0,0,67.67,-5,1,0,FALSE,2025-11-20
daycares in fayetteville ga,https://chromaela.com/service-areas-tyrone-ga,1,0,3,21,0,0,0,0,0,0,0,3,0,0,0,0,20,-21,3,0,FALSE,2025-11-20
jump start early learning academy,https://chromaela.com/service-areas-marietta-west-ga,1,0,1,1,3.8,1000,0,4,26,38.88,0,1,4,4,15,3750,1,25,-3,0,FALSE,2025-10-31
10 phrases to use when your toddler doesn t listen,https://chromaela.com/post/the-words-you-use-and-the-behavior-you-give-your-child-matters,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-13
day care in alpharetta woods,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,5,6,0,0,0,0,0,10.65,0,5,0,0,0,0,5.83,-6,5,0,FALSE,2025-11-20
preschool for 2 year olds,,0,0,0,0,6.9,4400,0,1,14,0,0,0,1,0,7,30448,0,14,-1,0,FALSE,2025-10-01
daycares in wyndham farms,https://chromaela.com/service-areas-midway-alpharetta-ga,14,0,50,3,0,0,0,7,3,25.88,0,50,7,0,0,0,7.94,0,43,0,FALSE,2025-11-20
stages of sensorimotor intelligence,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,3,87,0,40,0,0,0,7.27,0,3,0,0,0,0,87.33,-87,3,0,FALSE,2025-11-08
daycare with music and arts,https://chromaela.com/service-areas-tyrone-ga,2,0,2,13,0,0,0,2,9,4.58,0,2,2,0,0,0,13,-4,0,0,FALSE,2025-11-15
elementary schools near me,,0,0,0,0,7.8,246000,0,1,19,0,0,0,1,0,8,1913880,0,19,-1,0,FALSE,2025-10-15
early head start program near me,,0,0,0,0,4.3,1000,0,1,1,0,0,0,1,0,4,4330,0,1,-1,0,FALSE,2025-10-16
day care centers in mcdonough ga,https://chromaela.com/service-areas-mcdonough-ga,1,0,6,32,5.7,1000,0,5,1,52.72,0,6,5,34,29,5710,10.17,-31,1,0,FALSE,2025-11-22
cherokee academy at clayton,https://chromaela.com/service-areas-cherokee-ga,16,9,604,2,0,170,17,599,3,32.19,0,595,582,0,0,0,6.56,1,5,-8,FALSE,2025-11-23
child care center lilburn ga,https://chromaela.com/lilburn,3,0,12,18,0,0,0,12,30,16.44,0,12,12,0,0,0,20.03,12,0,0,FALSE,2025-11-17
park for 1 year old near me,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-west-cobb-for-your-babys-first-outings,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,-2,1,0,FALSE,2025-11-12
daycares in snellville ga,https://chromaela.com/service-areas-lilburn-ga,1,0,1,47,0,0,0,0,0,0,0,1,0,0,0,0,47,-47,1,0,FALSE,2025-11-03
piaget object permanence age 8-12 months,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,7,17,0,0,0,0,0,0,0,7,0,0,0,0,17.92,-17,7,0,FALSE,2025-11-22
daycares in bethany crossing,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,8,4,0,0,0,0,0,13.75,0,8,0,0,0,0,16.2,-4,8,0,FALSE,2025-11-20
childcares in herring township,https://chromaela.com/service-areas-midway-alpharetta-ga,2,0,23,3,0,0,0,22,9,20.74,0,23,22,0,0,0,4.8,6,1,0,FALSE,2025-11-20
integrated preschool near me,,0,0,0,0,5,50,0,1,9,0,0,0,1,0,5,250,0,9,-1,0,FALSE,2025-10-09
academy for early learners,https://chromaela.com/careers,11,0,21,7,7,320,0,1,9,56.58,0,21,1,147,7,2237,6.86,2,20,0,FALSE,2025-11-23
part time child care near me,,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,6,-1,0,FALSE,2025-09-25
parker chase sprayberry academy,,0,0,0,0,12.4,480,0,1,38,41.08,0,0,1,0,12,5976,0,38,-1,0,FALSE,2025-10-26
chroma early learning academy locations,https://chromaela.com/lilburn,25,0,204,1,0,0,1,59,2,35.18,0,204,58,0,0,0,3.57,1,145,-1,FALSE,2025-11-23
pre school hiring near me,https://chromaela.com/service-areas-cherokee-ga,1,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,6,-6,1,0,FALSE,2025-11-09
christian preschool near me,https://chromaela.com/service-areas-rivergreen-ga,1,0,3,19,4.3,14800,0,0,0,59.54,0,3,0,13,0,63788,20.33,-19,3,0,FALSE,2025-11-19
bethany crossing daycares,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,8,2,0,10,0,0,0,13.75,0,8,0,0,0,0,1.75,-2,8,0,FALSE,2025-11-20
black owned daycares near me,https://chromaela.com/service-areas-ellenwood-ga,1,0,1,86,4.2,140,0,0,0,30.13,0,1,0,4,0,588,86,-86,1,0,FALSE,2025-11-09
infant daycare san francisco,https://chromaela.com/services-infant-care,1,0,1,12,11.2,170,0,0,0,35.66,0,1,0,11,0,1897,12,-12,1,0,FALSE,2025-10-29
marietta early learning center,https://chromaela.com/service-areas-marietta-east-ga,3,0,20,11,4,390,0,3,57,54.58,0,20,3,80,12,1568,39.6,46,17,0,FALSE,2025-11-23
willoway preschool at mcdonough,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,44,4.6,50,0,0,0,25.68,0,1,0,5,0,230,44,-44,1,0,FALSE,2025-11-07
jean piaget sensorimotor stage,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,6,1,0,590,0,1,53,11.85,0,6,1,0,0,0,26.3,52,5,0,FALSE,2025-11-19
daycare in herring township,https://chromaela.com/service-areas-midway-alpharetta-ga,3,0,41,2,0,0,0,37,5,24.56,0,41,37,0,0,0,5.18,3,4,0,FALSE,2025-11-20
apple customer service hours,,0,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0,9,-1,0,FALSE,2025-10-16
daycare with camera access,https://chromaela.com/service-areas-satellite-ga,1,0,1,7,7.7,320,0,0,0,36.87,0,1,0,8,0,2451,7,-7,1,0,FALSE,2025-10-30
daycares hiring immediately,,0,0,0,0,1.5,40,0,1,29,0,0,0,1,0,2,61,0,29,-1,0,FALSE,2025-10-16
sensorimotor stage definition,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,4,71,0,210,0,0,0,9.17,0,4,0,0,0,0,85.5,-71,4,0,FALSE,2025-11-21
pre schools for 3 year olds,,0,0,0,0,7.1,480,0,1,29,0,0,0,1,0,7,3389,0,29,-1,0,FALSE,2025-09-27
montessori school atlanta,https://chromaela.com/service-areas-southcobb-ga,1,0,1,29,0,0,0,0,0,0,0,1,0,0,0,0,29,-29,1,0,FALSE,2025-11-09
happy faces academy alpharetta,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,1,83,0,0,0,0,0,0,0,1,0,0,0,0,83,-83,1,0,FALSE,2025-11-23
best toys for 2 year old boy uk,https://chromaela.com/post/top-10-educational-toys-for-toddlers-that-promote-learning-and-fun,1,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,4,-4,1,0,FALSE,2025-11-21
best daycares near me with cameras,https://chromaela.com/,12,0,21,12,6.9,390,0,0,0,57.48,0,21,0,146,0,2707,11.24,-12,21,0,FALSE,2025-11-13
south cobb early learning center,https://chromaela.com/service-areas-southcobb-ga,1,0,1,7,0,720,0,7,21,0,0,1,7,0,0,0,7,14,-6,0,FALSE,2025-11-10
the learning academy of georgia,https://chromaela.com/,1,0,2,39,3,480,0,2,40,38.95,0,2,2,6,6,1440,39,1,0,0,FALSE,2025-11-11
learning academy of georgia,https://chromaela.com/,1,0,2,67,3.6,50,0,2,88,29.09,0,2,2,7,7,179,37,21,0,0,FALSE,2025-11-23
star light learning academy lawrenceville,https://chromaela.com/,2,0,2,28,4.2,140,0,2,27,34.74,0,2,2,8,8,591,44.5,-1,0,0,FALSE,2025-11-13
herring township preschool,https://chromaela.com/service-areas-midway-alpharetta-ga,6,0,14,3,0,0,0,0,0,17.46,0,14,0,0,0,0,10.88,-3,14,0,FALSE,2025-11-20
free 3 year old preschool near me,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,3,-3,1,0,FALSE,2025-11-18
2660 satellite blvd duluth ga 30096,https://chromaela.com/service-areas-satellite-ga,1,0,1,40,0,210,0,2,25,0,0,1,2,0,0,0,40,-15,-1,0,FALSE,2025-11-13
daycares with cameras for parents,,0,0,0,0,9.1,70,0,1,38,0,0,0,1,0,9,638,0,38,-1,0,FALSE,2025-10-08
starlight learning academy lawrenceville ga,https://chromaela.com/,1,0,2,26,0,0,0,0,0,0,0,2,0,0,0,0,26,-26,2,0,FALSE,2025-11-16
bright horizons marietta ga,https://chromaela.com/service-areas-marietta-east-ga,2,0,164,47,3.7,70,0,0,0,60,0,164,0,608,0,260,62.41,-47,164,0,FALSE,2025-11-23
daycare for children with social anxiety,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,13,0,0,0,0,0,0,0,1,0,0,0,0,13,-13,1,0,FALSE,2025-11-13
school for kids with learning disabilities,,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,5,-1,0,FALSE,2025-09-30
what to ask at daycare tour,,0,0,0,0,0.6,50,0,1,54,0,0,0,1,0,1,31,0,54,-1,0,FALSE,2025-10-15
chroma early learning academy of west cobb,https://chromaela.com/,40,5,668,1,0,260,9,444,1,35.73,0,663,435,0,0,0,8.23,0,224,-4,FALSE,2025-11-23
best boy toys for 2 year old,https://chromaela.com/post/top-10-educational-toys-for-toddlers-that-promote-learning-and-fun,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,3,-3,1,0,FALSE,2025-11-23
12150 morris road alpharetta ga 30005,,0,0,0,0,0,50,0,1,70,0,0,0,1,0,0,0,0,70,-1,0,FALSE,2025-10-26
private schools in canton ga,https://chromaela.com/service-areas-cherokee-ga,1,0,2,86,2.8,140,0,0,0,32.78,0,2,0,6,0,391,84,-86,2,0,FALSE,2025-11-05
piaget sensorimotor development,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,2,59,0,70,0,0,0,4.58,0,2,0,0,0,0,70,-59,2,0,FALSE,2025-11-23
unique childcare and learning academy,,0,0,0,0,0,70,0,5,10,0,0,0,5,0,0,0,0,10,-5,0,FALSE,2025-10-02
tabula rasa lawrenceville,https://chromaela.com/,1,0,1,71,8.6,110,0,1,70,32.35,0,1,1,9,9,942,71,-1,0,0,FALSE,2025-11-14
school pick up service near me,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,27,0,0,0,0,0,0,0,1,0,0,0,0,27,-27,1,0,FALSE,2025-11-02
reggio emilia preschool mableton,https://chromaela.com/about-us,8,0,8,12,0,0,0,0,0,0,0,8,0,0,0,0,12,-12,8,0,FALSE,2025-11-23
the learning academy of georgia photos,,0,0,0,0,0,30,0,2,29,0,0,0,2,0,0,0,0,29,-2,0,FALSE,2025-10-17
daycares in alpharetta ga,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,2,71,0,0,0,0,0,4.58,0,2,0,0,0,0,71,-71,2,0,FALSE,2025-11-20
best interactive toddler toys,https://www.chromaela.com/post/top-10-educational-toys-for-toddlers-that-promote-learning-and-fun,1,0,1,47,0,0,0,0,0,0,0,1,0,0,0,0,47,-47,1,0,FALSE,2025-11-05
childcare in herring township,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,24,2,0,0,0,14,4,21.02,0,24,14,0,0,0,3.02,2,10,0,FALSE,2025-11-20
the learning academy of austell photos,,0,0,0,0,0,30,0,1,28,0,0,0,1,0,0,0,0,28,-1,0,FALSE,2025-10-15
benefits of bilingual nurseries for families from different backgrounds,https://chromaela.com/post/bilingual-daycare-unlocking-a-world-of-benefits-for-your-child,2,0,21,4,0,0,0,3,6,20.45,0,21,3,0,0,0,4.65,2,18,0,FALSE,2025-11-22
daycare with educational programs,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,5,0,0,0,2,4,0,0,1,2,0,0,0,5,-1,-1,0,FALSE,2025-11-10
busy world learning center,,0,0,0,0,1.8,170,0,1,68,0,0,0,1,0,2,308,0,68,-1,0,FALSE,2025-10-20
new childcare centers near me,,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,-1,0,FALSE,2025-10-13
field trips for 2nd graders near me,https://chromaela.com/service-areas-tyrone-ga,1,0,1,18,4.2,30,0,0,0,22.85,0,1,0,4,0,126,18,-18,1,0,FALSE,2025-11-04
preschool in alpharetta woods,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,2,8,0,0,0,0,0,4.58,0,2,0,0,0,0,7.5,-8,2,0,FALSE,2025-11-20
day cares in alpharetta woods,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,9,6,0,0,0,0,0,14.53,0,9,0,0,0,0,7.4,-6,9,0,FALSE,2025-11-20
top rated daycares near me,,0,0,0,0,9,5400,0,4,4,0,0,0,4,0,36,48600,0,4,-4,0,FALSE,2025-10-06
cobb county after school program,https://chromaela.com/service-areas-marietta-west-ga,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,-1,2,0,FALSE,2025-11-19
new daycare opening near me,,0,0,0,0,3,320,0,8,11,0,0,0,8,0,24,960,0,11,-8,0,FALSE,2025-10-23
private childcare near me,,0,0,0,0,2.7,3600,0,1,24,0,0,0,1,0,3,9684,0,24,-1,0,FALSE,2025-09-27
preschool lottery near me,https://chromaela.com/services-pre-k-lottery,1,0,2,10,5.5,40,0,0,0,30.1,0,2,0,11,0,222,9.5,-10,2,0,FALSE,2025-11-21
enoch cobb early learning center,https://chromaela.com/,1,0,1,45,0,210,0,0,0,0,0,1,0,0,0,0,45,-45,1,0,FALSE,2025-10-30
south rome early learning center,https://chromaela.com/,1,0,2,69,0,50,0,2,55,4.58,0,2,2,0,0,0,56.5,-14,0,0,FALSE,2025-11-21
circular reactions piaget,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,3,39,0,260,0,1,45,7.27,0,3,1,0,0,0,39,6,2,0,FALSE,2025-11-02
sensorimotor intelligence stages,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,70,0,0,0,0,0,0,0,1,0,0,0,0,70,-70,1,0,FALSE,2025-11-08
define sensorimotor stage,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,9,13,0,260,0,0,0,14.53,0,9,0,0,0,0,16.6,-13,9,0,FALSE,2025-11-20
early childhood education parent involvement,https://chromaela.com/post/b637f5ff-92a3-4b54-bb49-cd4bd23120a4-why-parent-involvement-shapes-curriculum-success-in-schools,1,0,1,79,10.6,720,0,0,0,42.25,0,1,0,11,0,7646,79,-79,1,0,FALSE,2025-11-17
learning academy of austell,,0,0,0,0,0,40,0,2,43,0,0,0,2,0,0,0,0,43,-2,0,FALSE,2025-10-16
after school activity near me,,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,2,-1,0,FALSE,2025-10-16
schools near me for teaching,https://chromaela.com/service-areas-cherokee-ga,1,0,1,6,9.3,9900,0,0,0,54.02,0,1,0,9,0,92367,6,-6,1,0,FALSE,2025-11-17
wellstar learning academy,https://chromaela.com/,1,0,1,68,0,50,0,1,88,0,0,1,1,0,0,0,68,20,0,0,FALSE,2025-11-22
pleasant hill daycare photographer,https://chromaela.com/service-areas-lilburn-ga,2,0,3,34,0,0,0,6,54,10.65,0,3,6,0,0,0,45.33,20,-3,0,FALSE,2025-11-09
walk leap grow early learning center,https://www.chromaela.com/home-690714,1,0,1,27,0,140,0,2,41,0,0,1,2,0,0,0,27,14,-1,0,FALSE,2025-11-14
1st creative learning academy tucker,https://chromaela.com/lilburn,2,0,2,54,9.3,70,0,0,0,35.18,0,2,0,19,0,649,64.5,-54,2,0,FALSE,2025-11-02
jamboree early learning center,https://chromaela.com/,1,0,1,75,0,90,0,1,48,0,0,1,1,0,0,0,75,-27,0,0,FALSE,2025-11-01
preschools in lawrenceville ga,,0,0,0,0,0,0,0,2,43,0,0,0,2,0,0,0,0,43,-2,0,FALSE,2025-10-07
kids technologies academy,,0,0,0,0,0,0,0,10,5,0,0,0,10,0,0,0,0,5,-10,0,FALSE,2025-10-26
chroma early learning academy mcdonough,,0,0,0,0,6.1,90,0,16,2,0,0,0,16,0,98,553,0,2,-16,0,FALSE,2025-09-26
responsive teaching strategies,https://chromaela.com/post/nurturing-diverse-learners-with-responsive-teaching-styles,1,0,2,85,0,140,0,0,0,4.58,0,2,0,0,0,0,87,-85,2,0,FALSE,2025-11-23
playgrounds for 1 year olds near me,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-west-cobb-for-your-babys-first-outings,1,0,2,3,1.2,260,0,0,0,31.56,0,2,0,2,0,302,3,-3,2,0,FALSE,2025-11-19
sunbrook academy at luella,,0,0,0,0,6.3,30,0,4,49,0,0,0,4,0,25,188,0,49,-4,0,FALSE,2025-10-20
day care centers in roswell ga,https://chromaela.com/service-areas-roswell-ga,1,0,1,14,9.2,480,0,0,0,39.66,0,1,0,9,0,4421,14,-14,1,0,FALSE,2025-11-03
academy of early learning,https://chromaela.com/team,1,0,1,8,0,0,0,1,7,0,0,1,1,0,0,0,8,-1,0,0,FALSE,2025-11-06
crisp early learning academy,https://chromaela.com/,1,0,2,20,0,0,0,0,0,4.58,0,2,0,0,0,0,20,-20,2,0,FALSE,2025-11-11
piaget circular reactions,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,2,37,0,260,0,0,0,4.58,0,2,0,0,0,0,37,-37,2,0,FALSE,2025-11-14
chroma early learning academy at jonesboro reviews,,0,0,0,0,0,0,0,9,3,0,0,0,9,0,0,0,0,3,-9,0,FALSE,2025-09-27
piaget sensorimotor stages,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,4,66,0,0,0,1,77,9.17,0,4,1,0,0,0,67,11,3,0,FALSE,2025-11-19
early learning institute atlanta ga,https://chromaela.com/service-areas-southcobb-ga,1,0,1,62,0,0,0,0,0,0,0,1,0,0,0,0,62,-62,1,0,FALSE,2025-11-12
trunk or treat near me today,https://chromaela.com/service-areas-tyrone-ga,1,0,1,3,0,9900,0,0,0,0,0,1,0,0,0,0,3,-3,1,0,FALSE,2025-10-30
places to take kids trick or treating near me,https://chromaela.com/service-areas-tyrone-ga,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,-2,1,0,FALSE,2025-10-30
daycare in peachtree city ga,https://chromaela.com/service-areas-tyrone-ga,1,0,1,8,6.4,480,0,0,0,37.98,0,1,0,6,0,3096,8,-8,1,0,FALSE,2025-11-20
daycare with flexible enrollment,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,13,0,0,0,5,12,0,0,1,5,0,0,0,13,-1,-4,0,FALSE,2025-10-27
sensorimotor in psychology,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,83,0,90,0,0,0,0,0,1,0,0,0,0,83,-83,1,0,FALSE,2025-11-09
childcare in bethany crossing,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,9,2,0,0,0,0,0,14.53,0,9,0,0,0,0,10.62,-2,9,0,FALSE,2025-11-20
god best learning academy and daycare,https://chromaela.com/service-areas-jonesboro-ga,1,0,2,9,0,30,0,0,0,4.58,0,2,0,0,0,0,9,-9,2,0,FALSE,2025-11-15
learning center lilburn ga,https://chromaela.com/,3,0,9,16,0,0,0,9,12,14.53,0,9,9,0,0,0,23.14,-4,0,0,FALSE,2025-11-17
toys for 21 month old boy,https://chromaela.com/post/top-10-educational-toys-for-toddlers-that-promote-learning-and-fun,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-23
daycare with low child-to-teacher ratio,,0,0,0,0,0,0,0,1,13,0,0,0,1,0,0,0,0,13,-1,0,FALSE,2025-10-11
